41	244+1317	0	414	1	42648at50557_7222_0:002c67|STRG.726.5|+|62|3.863e-13|1|244|1560|244[244]:1560[1560]:1317[1317]
121	942+648	0	211	1	12555at50557_121225_0:000df9|STRG.2007.2|+|66|2.415e-14|1|942|1589|942[942]:1589[1589]:648[648]
167	1346+255	0	177	1	60720at50557_7004_0:004a43|STRG.2757.7|+|37|1.296e-05|1|1346|1600|1346[1346]:1600[1600]:255[255]
214	791+855	0	489	1	94143at50557_93721_0:002ec0|STRG.3516.1|+|81|7.369e-19|1|791|1645|791[791]:1645[1645]:855[855]
224	333+642	0	698	1	12555at50557_133901_0:0043f8|STRG.3695.3|+|73|1.886e-16|1|333|974|333[333]:974[974]:642[642]
246	1087+669	0	211	1	12555at50557_121225_0:000df9|STRG.4091.1|+|66|2.415e-14|1|1087|1755|1087[1087]:1755[1755]:669[669]
247	470+1152	0	704	1	42648at50557_51655_0:001e51|STRG.4106.1|+|180|1.163e-48|1|470|1621|470[470]:1621[1621]:1152[1152]
305	417+987	0	1016	1	94143at50557_30069_0:0005da|STRG.5073.2|+|73|1.886e-16|1|417|1403|417[417]:1403[1403]:987[987]
307	1032+735	0	1362	1	111718at50557_7237_0:00030b|STRG.5107.5|+|44|1.013e-07|1|1032|1766|1032[1032]:1766[1766]:735[735]
351	576+240	0	177	1	60720at50557_7004_0:004a43|STRG.5770.1|+|36|2.593e-05|1|576|815|576[576]:815[815]:240[240]
377	851+753	0	400	1	111718at50557_7493_0:001572|STRG.6189.3|+|79|2.947e-18|1|851|1603|851[851]:1603[1603]:753[753]
460	3395+261	0	358	1	12555at50557_121845_0:00419d|STRG.7599.1|+|44|1.013e-07|1|3395|3655|3395[3395]:3655[3655]:261[261]
478	704+951	0	47	1	94143at50557_6973_0:004c45|STRG.7881.3|+|75|4.716e-17|1|704|1654|704[704]:1654[1654]:951[951]
550	149+1368	0	1449	1	94143at50557_680683_0:0012e3|STRG.9045.1|+|74|9.432e-17|1|149|1516|149[149]:1516[1516]:1368[1368]
554	199+669	0	929	1	111718at50557_43151_0:00255c|STRG.9108.1|+|46|2.532e-08|1|199|867|199[199]:867[867]:669[669]
583	1011+297	0	358	1	12555at50557_121845_0:00419d|STRG.9581.4|+|49|3.165e-09|1|1011|1307|1011[1011]:1307[1307]:297[297]
692	231+261	0	358	1	12555at50557_121845_0:00419d|STRG.11365.1|+|58|6.181e-12|1|231|491|231[231]:491[491]:261[261]
789	1435+246	0	1238	1	60720at50557_1218281_0:000819|STRG.12892.3|+|37|1.296e-05|1|1435|1680|1435[1435]:1680[1680]:246[246]
842	500+378	0	1199	1	73720at50557_29031_0:000293|STRG.13720.1|+|75|4.716e-17|1|500|877|500[500]:877[877]:378[378]
1014	2867+555	0	445	1	10394at50557_7536_0:0020dc|STRG.16484.5|+|63|1.932e-13|1|2867|3421|2867[2867]:3421[3421]:555[555]
1064	2+303	0	1063	1	94143at50557_143948_0:002d19|STRG.130.1|+|53|1.978e-10|1|2|304|2[2]:304[304]:303[303]
1096	471+426	0	358	1	12555at50557_121845_0:00419d|STRG.651.1|+|51|7.912e-10|1|471|896|471[471]:896[896]:426[426]
1101	244+1317	0	414	1	42648at50557_7222_0:002c67|STRG.726.4|+|62|3.863e-13|1|244|1560|244[244]:1560[1560]:1317[1317]
1111	980+837	0	211	1	12555at50557_121225_0:000df9|STRG.874.1|+|84|9.211e-20|1|980|1816|980[980]:1816[1816]:837[837]
