12	462+150	0	186	1	125046at50557_6973_0:005bd1|STRG.306.3|+|66|5.951e-14|1|462|611|462[462]:611[611]:150[150]
19	2367+351	0	1334	1	10394at50557_38123_0:002dad|STRG.437.7|+|57|3.047e-11|1|2367|2717|2367[2367]:2717[2717]:351[351]
36	288+240	0	1270	1	42371at50557_197043_0:001b42|STRG.760.1|+|41|1.997e-06|1|288|527|288[288]:527[527]:240[240]
78	534+954	0	2159	1	42371at50557_520822_0:00190c|STRG.1520.1|+|653|1.175e-190|1|534|1487|534[534]:1487[1487]:954[954]
118	573+648	0	1667	1	12555at50557_121225_0:000df9|STRG.2306.6|+|66|5.951e-14|1|573|1220|573[573]:1220[1220]:648[648]
132	2193+420	0	568	1	68599at50557_610380_0:002445|STRG.2577.1|+|83|4.54e-19|1|2193|2612|2193[2193]:2612[2612]:420[420]
187	457+786	0	1715	1	42371at50557_45779_0:000872|STRG.3637.3|+|33|0.0005112|1|457|1242|457[457]:1242[1242]:786[786]
190	538+300	0	302	1	104526at50557_29031_0:002594|STRG.3692.2|+|34|0.0002556|1|538|837|538[538]:837[837]:300[300]
192	1+395	0	3891	1	132625at50557_103372_0:00071e|STRG.3729.1|+|166|4.695e-44|3|1|395|1[1]:57[57]:57[57]|61[61]:210[210]:150[150]|267[267]:395[395]:129[129]
239	822+1350	0	3837	1	8602at50557_1629725_0:000e58|STRG.4647.2|+|53|4.875e-10|1|822|2171|822[822]:2171[2171]:1350[1350]
241	1275+927	0	1571	1	42648at50557_6973_0:00277a|STRG.4682.3|+|40|3.994e-06|1|1275|2201|1275[1275]:2201[2201]:927[927]
374	299+495	0	3974	1	83433at50557_1049336_0:001f55|STRG.7164.4|+|62|9.522e-13|1|299|793|299[299]:793[793]:495[495]
389	24+471	0	723	1	83433at50557_378494_0:0016c4|STRG.7421.1|+|53|4.875e-10|1|24|494|24[24]:494[494]:471[471]
423	0+2112	0	1706	1	21322at50557_34720_0:0010a4|STRG.8104.7|+|1372|0|1|0|2111|0[0]:2111[2111]:2112[2112]
458	889+798	0	3785	1	42371at50557_680683_0:0023e6|STRG.8786.10|+|65|1.19e-13|1|889|1686|889[889]:1686[1686]:798[798]
476	49+795	0	40	1	12555at50557_166423_0:002c53|STRG.9129.1|+|96|5.542e-23|1|49|843|49[49]:843[843]:795[795]
487	1914+558	0	3148	1	12555at50557_29031_0:000522|STRG.9341.2|+|51|1.95e-09|1|1914|2471|1914[1914]:2471[2471]:558[558]
521	36+360	0	1061	1	117348at50557_568069_0:002efe|STRG.10032.1|+|50|3.9e-09|1|36|395|36[36]:395[395]:360[360]
543	409+465	0	3638	1	42371at50557_67767_0:003013|STRG.10430.1|+|55|1.219e-10|1|409|873|409[409]:873[873]:465[465]
596	846+900	0	975	1	42371at50557_39758_0:001c62|STRG.11459.12|+|45|1.248e-07|1|846|1745|846[846]:1745[1745]:900[900]
615	1+2496	0	3691	1	8602at50557_34720_0:0017b2|STRG.11808.2|+|1712|0|1|1|2496|1[1]:2496[2496]:2496[2496]
647	1167+879	0	3043	1	32224at50557_56086_0:0020a6|STRG.12431.1|+|79|7.264e-18|1|1167|2045|1167[1167]:2045[2045]:879[879]
669	146+510	0	2391	1	117348at50557_104452_0:003894|STRG.12875.2|+|116|5.286e-29|1|146|655|146[146]:655[655]:510[510]
671	1466+1227	0	40	1	12555at50557_166423_0:002c53|STRG.12916.1|+|153|3.846e-40|1|1466|2692|1466[1466]:2692[2692]:1227[1227]
671	665+1170	0	1667	1	12555at50557_121225_0:000df9|STRG.12916.1|+|142|7.876e-37|1|665|1834|665[665]:1834[1834]:1170[1170]
705	543+1110	0	1564	1	32224at50557_7160_0:0018e8|STRG.13593.5|+|117|2.643e-29|1|543|1652|543[543]:1652[1652]:1110[1110]
848	3+1236	0	2366	1	94143at50557_7029_0:002728|STRG.16301.5|+|96|5.542e-23|1|3|1238|3[3]:1238[1238]:1236[1236]
868	90+483	0	1144	1	53250at50557_6973_0:004d4c|STRG.16676.1|+|235|7.953e-65|1|90|572|90[90]:572[572]:483[483]
935	316+213	0	2255	1	124154at50557_7536_0:001d04|STRG.17976.2|+|69|7.439e-15|1|316|528|316[316]:528[528]:213[213]
962	2604+360	0	1270	1	42371at50557_197043_0:001b42|STRG.18490.3|+|50|3.9e-09|1|2604|2963|2604[2604]:2963[2963]:360[360]
1007	259+1734	0	3375	1	68076at50557_34740_0:002ced|STRG.19350.2|+|284|1.413e-79|1|259|1992|259[259]:1992[1992]:1734[1734]
1040	141+378	0	568	1	68599at50557_610380_0:002445|STRG.19908.2|+|72|9.298e-16|1|141|518|141[141]:518[518]:378[378]
1077	2364+351	0	1334	1	10394at50557_38123_0:002dad|STRG.437.9|+|57|3.047e-11|1|2364|2714|2364[2364]:2714[2714]:351[351]
1093	180+426	0	2111	1	12555at50557_121845_0:00419d|STRG.741.1|+|51|1.95e-09|1|180|605|180[180]:605[605]:426[426]
1123	514+855	0	3787	1	42648at50557_197043_0:000759|STRG.1297.1|+|44|2.496e-07|1|514|1368|514[514]:1368[1368]:855[855]
1134	1767+219	0	2255	1	124154at50557_7536_0:001d04|STRG.1492.2|+|78|1.453e-17|1|1767|1985|1767[1767]:1985[1985]:219[219]
1158	530+1035	0	3989	1	94143at50557_286706_0:002f5f|STRG.1974.1|+|83|4.54e-19|1|530|1564|530[530]:1564[1564]:1035[1035]
1190	1301+420	0	568	1	68599at50557_610380_0:002445|STRG.2577.2|+|83|4.54e-19|1|1301|1720|1301[1301]:1720[1720]:420[420]
1193	122+732	0	4121	1	83433at50557_108931_0:0027fa|STRG.2649.1|+|76|5.812e-17|1|122|853|122[122]:853[853]:732[732]
1245	3921+879	0	3491	1	42371at50557_66420_0:0004ba|STRG.3637.2|+|45|1.248e-07|1|3921|4799|3921[3921]:4799[4799]:879[879]
1248	419+300	0	302	1	104526at50557_29031_0:002594|STRG.3692.6|+|34|0.0002556|1|419|718|419[419]:718[718]:300[300]
1250	104+302	0	3891	1	132625at50557_103372_0:00071e|STRG.3729.2|+|105|1.082e-25|2|104|405|104[104]:220[220]:117[117]|277[277]:405[405]:129[129]
1516	602+855	0	4077	1	42371at50557_13037_0:00305e|STRG.8786.11|+|77|2.906e-17|1|602|1456|602[602]:1456[1456]:855[855]
1523	923+261	0	2111	1	12555at50557_121845_0:00419d|STRG.8909.1|+|44|2.496e-07|1|923|1183|923[923]:1183[1183]:261[261]
1544	502+474	0	3821	1	68599at50557_45779_0:00011e|STRG.9318.1|+|72|9.298e-16|1|502|975|502[502]:975[975]:474[474]
1601	300+465	0	3638	1	42371at50557_67767_0:003013|STRG.10430.2|+|55|1.219e-10|1|300|764|300[300]:764[764]:465[465]
1610	372+1038	0	4284	1	94143at50557_54969_0:002985|STRG.10612.1|+|105|1.082e-25|1|372|1409|372[372]:1409[1409]:1038[1038]
1633	51+243	0	1699	1	147726at50557_568069_0:0008d6|STRG.11057.1|+|42|9.984e-07|1|51|293|51[51]:293[293]:243[243]
1662	518+1023	0	1181	1	94143at50557_319348_0:0040ff|STRG.11611.1|+|85|1.135e-19|1|518|1540|518[518]:1540[1540]:1023[1023]
1673	1+2532	0	3691	1	8602at50557_34720_0:0017b2|STRG.11808.3|+|1743|0|1|1|2532|1[1]:2532[2532]:2532[2532]
1705	1182+879	0	3043	1	32224at50557_56086_0:0020a6|STRG.12431.2|+|79|7.264e-18|1|1182|2060|1182[1182]:2060[2060]:879[879]
1729	1466+1227	0	40	1	12555at50557_166423_0:002c53|STRG.12916.2|+|153|3.846e-40|1|1466|2692|1466[1466]:2692[2692]:1227[1227]
1729	665+1170	0	1667	1	12555at50557_121225_0:000df9|STRG.12916.2|+|142|7.876e-37|1|665|1834|665[665]:1834[1834]:1170[1170]
1763	733+1110	0	1564	1	32224at50557_7160_0:0018e8|STRG.13593.2|+|117|2.643e-29|1|733|1842|733[733]:1842[1842]:1110[1110]
1889	756+1104	0	2307	1	42371at50557_52612_0:00480f|STRG.15997.1|+|50|3.9e-09|1|756|1859|756[756]:1859[1859]:1104[1104]
1906	59+273	0	3104	1	94143at50557_246812_0:0036b8|STRG.16301.6|+|45|1.248e-07|1|59|331|59[59]:331[331]:273[273]
1917	526+1074	0	830	1	42648at50557_29053_0:001c61|STRG.16497.1|+|169|5.868e-45|1|526|1599|526[526]:1599[1599]:1074[1074]
1926	50+334	0	550	1	53250at50557_168631_0:000e3a|STRG.16676.2|+|101|1.732e-24|2|50|383|50[50]:157[157]:108[108]|228[234]:383[383]:156[150]
1965	75+324	0	2111	1	12555at50557_121845_0:00419d|STRG.17416.1|+|55|1.219e-10|1|75|398|75[75]:398[398]:324[324]
2034	1856+816	0	2754	1	42648at50557_37344_0:002112|STRG.18760.1|+|34|0.0002556|1|1856|2671|1856[1856]:2671[2671]:816[816]
2065	317+1650	0	3375	1	68076at50557_34740_0:002ced|STRG.19351.1|+|276|3.617e-77|1|317|1966|317[317]:1966[1966]:1650[1650]
2095	1516+510	0	2943	1	83433at50557_67767_0:000e6c|STRG.19865.4|+|76|5.812e-17|1|1516|2025|1516[1516]:2025[2025]:510[510]
2121	0+270	0	321	1	117348at50557_456900_0:002d4b|STRG.162.1|+|186|4.477e-50|1|0|269|0[0]:269[269]:270[270]
2135	2968+357	0	1334	1	10394at50557_38123_0:002dad|STRG.437.3|+|58|1.523e-11|1|2968|3324|2968[2968]:3324[3324]:357[357]
2248	1445+420	0	568	1	68599at50557_610380_0:002445|STRG.2577.3|+|83|4.54e-19|1|1445|1864|1445[1445]:1864[1864]:420[420]
2249	139+1308	0	3251	1	94143at50557_121845_0:0041d2|STRG.2605.1|+|85|1.135e-19|1|139|1446|139[139]:1446[1446]:1308[1308]
2251	122+732	0	4121	1	83433at50557_108931_0:0027fa|STRG.2649.2|+|76|5.812e-17|1|122|853|122[122]:853[853]:732[732]
2303	4184+867	0	3491	1	42371at50557_66420_0:0004ba|STRG.3637.1|+|47|3.12e-08|1|4184|5050|4184[4184]:5050[5050]:867[867]
2306	574+300	0	302	1	104526at50557_29031_0:002594|STRG.3692.1|+|34|0.0002556|1|574|873|574[574]:873[873]:300[300]
2324	606+261	0	4630	1	133820at50557_110193_0:0011cb|STRG.4049.1|+|44|2.496e-07|1|606|866|606[606]:866[866]:261[261]
2469	30+357	0	2687	1	117348at50557_1049336_0:0013a8|STRG.6758.1|+|46|6.24e-08|1|30|386|30[30]:386[386]:357[357]
2476	518+354	0	3722	1	117348at50557_37001_0:000374|STRG.6890.1|+|34|0.0002556|1|518|871|518[518]:871[871]:354[354]
2490	299+495	0	3974	1	83433at50557_1049336_0:001f55|STRG.7164.7|+|62|9.522e-13|1|299|793|299[299]:793[793]:495[495]
2539	457+1017	0	3038	1	21322at50557_411798_0:0030d4|STRG.8104.8|+|596|1.693e-173|1|457|1473|457[457]:1473[1473]:1017[1017]
2549	782+516	0	1462	1	83433at50557_133901_0:001dd1|STRG.8321.1|+|64|2.38e-13|1|782|1297|782[782]:1297[1297]:516[516]
2581	2893+261	0	2111	1	12555at50557_121845_0:00419d|STRG.8909.5|+|44|2.496e-07|1|2893|3153|2893[2893]:3153[3153]:261[261]
2598	222+564	0	1623	1	94143at50557_1049336_0:001a7d|STRG.9234.1|+|51|1.95e-09|1|222|785|222[222]:785[785]:564[564]
2602	1189+246	0	406	1	60720at50557_1218281_0:000819|STRG.9319.1|+|39|7.987e-06|1|1189|1434|1189[1189]:1434[1434]:246[246]
2658	505+345	0	3574	1	117348at50557_121225_0:001b3c|STRG.10410.2|+|42|9.984e-07|1|505|849|505[505]:849[849]:345[345]
2700	39+1032	0	1181	1	94143at50557_319348_0:0040ff|STRG.11223.2|+|83|4.54e-19|1|39|1070|39[39]:1070[1070]:1032[1032]
2712	619+900	0	975	1	42371at50557_39758_0:001c62|STRG.11459.14|+|45|1.248e-07|1|619|1518|619[619]:1518[1518]:900[900]
2720	381+1023	0	1181	1	94143at50557_319348_0:0040ff|STRG.11611.2|+|85|1.135e-19|1|381|1403|381[381]:1403[1403]:1023[1023]
2756	319+924	0	2752	1	42371at50557_7425_0:00122c|STRG.12295.1|+|51|1.95e-09|1|319|1242|319[319]:1242[1242]:924[924]
2756	1516+438	0	3638	1	42371at50557_67767_0:003013|STRG.12295.1|+|33|0.0005112|1|1516|1953|1516[1516]:1953[1953]:438[438]
2763	940+879	0	3043	1	32224at50557_56086_0:0020a6|STRG.12431.3|+|79|7.264e-18|1|940|1818|940[940]:1818[1818]:879[879]
2764	120+783	0	240	1	42648at50557_79782_0:002822|STRG.12452.1|+|44|2.496e-07|1|120|902|120[120]:902[902]:783[783]
2821	462+1110	0	1564	1	32224at50557_7160_0:0018e8|STRG.13593.3|+|117|2.643e-29|1|462|1571|462[462]:1571[1571]:1110[1110]
2885	0+588	0	1762	1	83860at50557_34720_0:001eb2|STRG.14857.1|+|415|5.189e-119|1|0|587|0[0]:587[587]:588[588]
2929	1311+909	0	4667	1	42371at50557_7038_0:00292b|STRG.15644.1|+|36|6.39e-05|1|1311|2219|1311[1311]:2219[2219]:909[909]
2947	756+1104	0	2307	1	42371at50557_52612_0:00480f|STRG.15997.2|+|50|3.9e-09|1|756|1859|756[756]:1859[1859]:1104[1104]
2964	225+1404	0	293	1	94143at50557_307491_0:000794|STRG.16304.1|+|122|8.259e-31|1|225|1628|225[225]:1628[1628]:1404[1404]
2975	745+1074	0	830	1	42648at50557_29053_0:001c61|STRG.16497.2|+|169|5.868e-45|1|745|1818|745[745]:1818[1818]:1074[1074]
2982	885+144	0	1888	1	60720at50557_7004_0:004a43|STRG.16638.3|+|33|0.0005112|1|885|1028|885[885]:1028[1028]:144[144]
2984	2+735	0	3656	1	53250at50557_13249_0:000540|STRG.16677.1|+|252|6.068e-70|1|2|736|2[2]:736[736]:735[735]
3092	792+816	0	2754	1	42648at50557_37344_0:002112|STRG.18760.2|+|34|0.0002556|1|792|1607|792[792]:1607[1607]:816[816]
3130	937+939	0	4371	1	42371at50557_13249_0:000c48|STRG.19481.1|+|64|2.38e-13|1|937|1875|937[937]:1875[1875]:939[939]
3153	380+510	0	2943	1	83433at50557_67767_0:000e6c|STRG.19865.5|+|76|5.812e-17|1|380|889|380[380]:889[889]:510[510]
3193	3243+357	0	1334	1	10394at50557_38123_0:002dad|STRG.437.2|+|58|1.523e-11|1|3243|3599|3243[3243]:3599[3599]:357[357]
3195	272+498	0	1314	1	83433at50557_13249_0:003364|STRG.487.1|+|64|2.38e-13|1|272|769|272[272]:769[769]:498[498]
3309	122+732	0	4121	1	83433at50557_108931_0:0027fa|STRG.2649.3|+|70|3.719e-15|1|122|853|122[122]:853[853]:732[732]
3359	218+1233	0	3041	1	32224at50557_13249_0:000c9e|STRG.3597.1|+|96|5.542e-23|1|218|1450|218[218]:1450[1450]:1233[1233]
